,path,gender,emotion,sgram_means
20,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-01-01-01-01.wav,male,sad,35.471916
21,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-01-01-02-01.wav,male,sad,34.994274
22,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-01-02-01-01.wav,male,sad,34.307724
23,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-01-02-02-01.wav,male,sad,44.77645
24,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-02-01-01-01.wav,male,sad,49.883297
25,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-02-01-02-01.wav,male,sad,42.943092
26,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-02-02-01-01.wav,male,sad,43.863888
27,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-04-02-02-02-01.wav,male,sad,46.42882
28,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-01-01-01-01.wav,male,angry,49.27283
29,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-01-01-02-01.wav,male,angry,50.53555
30,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-01-02-01-01.wav,male,angry,48.506817
31,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-01-02-02-01.wav,male,angry,51.3282
32,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-02-01-01-01.wav,male,angry,64.54329
33,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-02-01-02-01.wav,male,angry,58.590336
34,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-02-02-01-01.wav,male,angry,55.13997
35,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_01/03-01-05-02-02-02-01.wav,male,angry,66.95085
